Comments,Target
"It's sleek and fine, Good for the price 
",-1
Very good,-1
It's really a smart phone,-1
Nice phone,-1
"Nice gadget, seriously enjoying the phone",-1
Ok product,-1
"Although I haven’t done the settings yet,  but I’m already in love with the phone.",-1
Phone is superb. I'll buy it 1 Million times...,-1
Very good product,-1
"I'm enjoying it, I really love the fast charge ????????",-1
Very solid phone. I really love it.,-1
Very nice  phone ????,-1
"A very good phone, recommended. Quality for a budget.",-1
The phone for now is a treasure. I'm satisfied buying it.,-1
"The phone is amazing beat my expectations by far durable battery , the phone is fast the speaker loud black is the best color",-1
"Apps open with ease, I can mult task with ease as well and the phone does not hang or freeze. Fast charging and lots more.",-1
Perfect,-1
Working  very  welk,-1
Got what I ordered and it works really good,-1
Very cool n smart phone,-1
Good product,-1
Very good as expected,-1
"The phone is sweet.
Am flexing it",-1
The product match the description,-1
It is worth it,-1
Nice and lovely ,-1
"Perfect ,even more than expected 
",-1
The phone works well,-1
love it,-1
Good performance,-1
"Who wouldn't love a Samsung phone? And yea, thr price was very good. Good as expected.",-1
It is a very nice design.,-1
Good price. Good quality.,-1
Not bad,-1
It's fine and working fine,-1
"Very Good product, according to the client i bought for.",-1
The phone is OK but the screen is fragile,-1
i love it,-1
"No finger print scan  and worst more no private folder 
Poor camera, like I had to download a camera app to get a good shine. Screen cracked after a week and it looks so ugly now. What was that other thing I was pissed off about  ???? yeah can't share through Bluetooth  I mean isn't that why we love android.  Other wise good phone, 
Good battery 
Slick animations 
Cool features 
Oh oh oh something ... takes forever to start up show it go off for any reason.  
Okay  back to good features 
NO MORE. ",-1
This product is very okay,-1
It is best little money can afford,-1
It's okay for the price.,-1
It's cool,-1
"Got it for my dad as a gift, but he’s not enjoining the phone",-1
"It works well as expected from any Samsung product. I highly recommend it. It's cheap, loaded with decent features, and is a great gift item.",-1
The phone is OK for the price except the lack of fingerprint,-1
Working perfectly good battery fast browsing and durable just as I want it Iove it,-1
Item was okay,-1
Very nice phone and long lasting battery. Quite cheap for its quality.,-1
Exactly as specified,-1
Nice one. But too light,-1
"Nice phone 
Really nice it connect to my smart tv it self 
Good catch",-1
I Got what I wanted a Very Powerful Device it is ????.,-1
As was expected,-1
Awesome,-1
"It a good product battery lasting as expected, it 2days on using still observing.. Nevertheless it Good",-1
Wonderful and beautiful. Works very well,-1
It's good and I don't regret purchasing it,-1
"Nice phone, superb battery life",-1
Exactly what I order lovely ,-1
I rate this product 80 percent,-1
Is a very good phone l have recommend it for two of my friends and they love it. Strong battery and large storage.,-1
Very okay for the price and the battery life okay too,-1
This phone is simply amazing. Am glad I bought it. It's super Amazing..,-1
Everything about the phone is perfect at least for the peice,-1
I bought it for my friend on her birthday she loved it very much.. she said the battery is very strong like last longer it's good ,-1
It's okay for the price,-1
It's is perfect as described.,-1
"It a really good phone... Battery, Camera and Storage very Good. Itel got this right.",-1
It's really cool ,-1
"I love it. the battery capacity is next to non and it exceeded my expectations
",-1
Itel p 40 very effective,-1
"The Battery Life is GOOD, recommended.
The phone is very strong.",-1
It looks just as expected,-1
Perfect,-1
"Good Product but get yourself a better charger, less than a week the charging cord is already faulty",-1
"Just started using it though, it's very okay ",-1
I like the phone ,-1
It's ok for the price.,-1
"Very good, itel has improved tremendously",-1
Battery stability phone running smoothly,-1
The phone is good,-1
This one is okay compare to the other one.,-1
Very good,-1
Very good and battery lasting,-1
The battery is perfect... Kudos ,-1
Its really serving well in my home ,-1
Ok for the price.,-1
"My wife likes it,the battery last ",-1
"Battery lasts so far. It’s sleek 
Love it",-1
"High quality battery, Enough memory, Faster for network and browsing.",-1
Good product ,-1
So worth it ,-1
"I was very happy when I got my phone, and my pixel works fire ????",-1
Really enjoying it. Except for the fact that it gets really hot sometimes ,-1
Phone works well.,-1
"The device is very good only that it heats up when the camera is on for too long, so meeting like Google Meets makes the phone heat up when it gets to one or two hours",-1
Met my expectations. Good speaker,-1
It's sounds great and cool ,-1
